시도명,시군구명,자치단체코드,과세년도,세목명,체납액구간,체납건수,체납금액,누적체납건수,누적체납금액
부산광역시,부산광역시,26000,2017,등록면허세,10만원 미만,0,0,2,37080
부산광역시,부산광역시,26000,2017,자동차세,10만원 미만,0,0,2150,92172350
부산광역시,부산광역시,26000,2017,자동차세,10만원~30만원미만,0,0,1770,327625190
부산광역시,부산광역시,26000,2017,자동차세,30만원~50만원미만,0,0,571,225768210
부산광역시,부산광역시,26000,2017,자동차세,50만원~1백만원미만,0,0,204,136425000
부산광역시,부산광역시,26000,2017,주민세,10만원 미만,0,0,2169,54339010
부산광역시,부산광역시,26000,2017,지방소득세,10만원 미만,0,0,765,28578470
부산광역시,부산광역시,26000,2017,지방소득세,10만원~30만원미만,0,0,359,63412990
부산광역시,부산광역시,26000,2017,지방소득세,1백만원~3백만원미만,0,0,274,492356210
부산광역시,부산광역시,26000,2017,지방소득세,1억원~3억원미만,0,0,2,249131600
부산광역시,부산광역시,26000,2017,지방소득세,1천만원~3천만원미만,0,0,577,8883077110
부산광역시,부산광역시,26000,2017,지방소득세,30만원~50만원미만,0,0,51,20152090
부산광역시,부산광역시,26000,2017,지방소득세,3백만원~5백만원미만,0,0,104,405087620
부산광역시,부산광역시,26000,2017,지방소득세,3천만원~5천만원미만,0,0,30,1143665260
부산광역시,부산광역시,26000,2017,지방소득세,50만원~1백만원미만,0,0,230,163159390
부산광역시,부산광역시,26000,2017,지방소득세,5백만원~1천만원미만,0,0,401,3247188730
부산광역시,부산광역시,26000,2017,지방소득세,5천만원~1억원미만,0,0,15,1025034360
부산광역시,부산광역시,26000,2017,지역자원시설세,10만원~30만원미만,0,0,1,237310
부산광역시,부산광역시,26000,2017,지역자원시설세,30만원~50만원미만,0,0,2,846990
부산광역시,부산광역시,26000,2017,지역자원시설세,50만원~1백만원미만,0,0,1,542420
부산광역시,부산광역시,26000,2017,취득세,10만원~30만원미만,0,0,67,14279100
부산광역시,부산광역시,26000,2017,취득세,1억원~3억원미만,0,0,4,570496240
부산광역시,부산광역시,26000,2017,취득세,1천만원~3천만원미만,0,0,95,1430092130
부산광역시,부산광역시,26000,2017,취득세,5백만원~1천만원미만,0,0,61,454460160
부산광역시,부산광역시,26000,2017,취득세,5천만원~1억원미만,0,0,7,533857130
부산광역시,부산광역시,26000,2018,자동차세,10만원 미만,0,0,2314,99074280
부산광역시,부산광역시,26000,2018,자동차세,10만원~30만원미만,0,0,1947,361099510
부산광역시,부산광역시,26000,2018,자동차세,30만원~50만원미만,0,0,605,237730370
부산광역시,부산광역시,26000,2018,자동차세,50만원~1백만원미만,0,0,208,138494310
부산광역시,부산광역시,26000,2018,주민세,10만원 미만,0,0,2494,67039350
부산광역시,부산광역시,26000,2018,지방소득세,10만원 미만,0,0,1005,35424120
부산광역시,부산광역시,26000,2018,지방소득세,10만원~30만원미만,0,0,463,82703790
부산광역시,부산광역시,26000,2018,지방소득세,1백만원~3백만원미만,0,0,341,619608160
부산광역시,부산광역시,26000,2018,지방소득세,1억원~3억원미만,0,0,4,619401320
부산광역시,부산광역시,26000,2018,지방소득세,1천만원~3천만원미만,0,0,746,11542940050
부산광역시,부산광역시,26000,2018,지방소득세,30만원~50만원미만,0,0,70,28166250
부산광역시,부산광역시,26000,2018,지방소득세,3백만원~5백만원미만,0,0,132,510375180
부산광역시,부산광역시,26000,2018,지방소득세,3천만원~5천만원미만,0,0,53,2034949150
부산광역시,부산광역시,26000,2018,지방소득세,50만원~1백만원미만,0,0,272,194883090
부산광역시,부산광역시,26000,2018,지방소득세,5백만원~1천만원미만,0,0,580,4650278160
부산광역시,부산광역시,26000,2018,지방소득세,5천만원~1억원미만,0,0,19,1235658140
부산광역시,부산광역시,26000,2018,지역자원시설세,10만원 미만,0,0,2,7400
부산광역시,부산광역시,26000,2018,취득세,1백만원~3백만원미만,0,0,71,137777560
부산광역시,부산광역시,26000,2018,취득세,1천만원~3천만원미만,0,0,107,1617032710
부산광역시,부산광역시,26000,2018,취득세,30만원~50만원미만,0,0,17,6416490
부산광역시,부산광역시,26000,2018,취득세,3백만원~5백만원미만,0,0,43,170159460
부산광역시,부산광역시,26000,2018,취득세,3천만원~5천만원미만,0,0,9,345335670
부산광역시,부산광역시,26000,2018,취득세,5백만원~1천만원미만,0,0,69,509029410
부산광역시,부산광역시,26000,2019,자동차세,10만원 미만,0,0,2434,103985670
부산광역시,부산광역시,26000,2019,자동차세,10만원~30만원미만,0,0,2111,392074120
부산광역시,부산광역시,26000,2019,자동차세,30만원~50만원미만,0,0,630,246474940
부산광역시,부산광역시,26000,2019,주민세,10만원 미만,0,0,2736,76160000
부산광역시,부산광역시,26000,2019,주민세,30만원~50만원미만,0,0,59,22847340
부산광역시,부산광역시,26000,2019,지방소득세,10만원 미만,0,0,1234,43422410
부산광역시,부산광역시,26000,2019,지방소득세,10만원~30만원미만,0,0,569,101811870
부산광역시,부산광역시,26000,2019,지방소득세,1백만원~3백만원미만,0,0,422,755744160
부산광역시,부산광역시,26000,2019,지방소득세,1억원~3억원미만,0,0,7,935953670
부산광역시,부산광역시,26000,2019,지방소득세,1천만원~3천만원미만,0,0,907,14201229530
부산광역시,부산광역시,26000,2019,지방소득세,30만원~50만원미만,0,0,96,39100740
부산광역시,부산광역시,26000,2019,지방소득세,3백만원~5백만원미만,0,0,167,647717240
부산광역시,부산광역시,26000,2019,지방소득세,3천만원~5천만원미만,0,0,83,3222533820
부산광역시,부산광역시,26000,2019,지방소득세,50만원~1백만원미만,0,0,312,224133260
부산광역시,부산광역시,26000,2019,지방소득세,5백만원~1천만원미만,0,0,779,6144022150
부산광역시,부산광역시,26000,2019,지방소득세,5천만원~1억원미만,0,0,28,1867956580
부산광역시,부산광역시,26000,2019,취득세,1백만원~3백만원미만,0,0,85,162980400
부산광역시,부산광역시,26000,2019,취득세,1억원~3억원미만,0,0,7,1093451740
부산광역시,부산광역시,26000,2019,취득세,1천만원~3천만원미만,0,0,122,1859459400
부산광역시,부산광역시,26000,2019,취득세,30만원~50만원미만,0,0,25,9186900
부산광역시,부산광역시,26000,2019,취득세,3백만원~5백만원미만,0,0,48,190567590
부산광역시,부산광역시,26000,2019,취득세,3억원~5억원미만,0,0,2,721392070
부산광역시,부산광역시,26000,2019,취득세,3천만원~5천만원미만,0,0,15,552785880
부산광역시,부산광역시,26000,2019,취득세,50만원~1백만원미만,0,0,30,22102720
부산광역시,부산광역시,26000,2019,취득세,5백만원~1천만원미만,0,0,89,671747890
부산광역시,부산광역시,26000,2019,취득세,5억원~10억원미만,0,0,1,645754290
부산광역시,부산광역시,26000,2019,취득세,5천만원~1억원미만,0,0,8,592832670
